(.venv) C:\Users\busyp\CCIR>python scripts\train.py --epochs 10 --batch_size 64 --device cuda
Device: cuda
Loading BioMedCLIP...
Model on: cuda:0
Trainable params: 57,522,177 / 195,902,721 (29.4%)
Loading tokenizer...
Tokenizer ready.
Loading OrganAMNIST...
OrganAMNIST loaded.
Loading captions...
Pre-tokenizing captions...
Captions ready.
Datasets wrapped.
DataLoaders ready.
Train: 34561 images | Val: 6491 images
Starting training: 10 epochs, lr=0.0001, batch=64
Image tensor device: cuda:0
Token tensor device: cuda:0
Model device: cuda:0
  batch 230/541 | loss=100.6091
  batch 231/541 | loss=100.1887
  batch 232/541 | loss=99.7745
  batch 233/541 | loss=99.3624
  batch 234/541 | loss=98.9544
  batch 235/541 | loss=98.5493
  batch 236/541 | loss=98.1480
  batch 237/541 | loss=97.7490
  batch 238/541 | loss=97.3535
  batch 239/541 | loss=96.9608
  batch 240/541 | loss=96.5712
  batch 241/541 | loss=96.1849
  batch 242/541 | loss=95.8019
  batch 243/541 | loss=95.4224
  batch 244/541 | loss=95.0456
  batch 245/541 | loss=94.6723
  batch 246/541 | loss=94.3015
  batch 247/541 | loss=93.9347
  batch 248/541 | loss=93.5704
  batch 249/541 | loss=93.2093
  batch 250/541 | loss=92.8506
  batch 251/541 | loss=92.4951
  batch 252/541 | loss=92.1421
  batch 253/541 | loss=91.7924
  batch 254/541 | loss=91.4447
  batch 255/541 | loss=91.0995
  batch 256/541 | loss=90.7573
  batch 257/541 | loss=90.4201
  batch 258/541 | loss=90.0868
  batch 259/541 | loss=89.7536
  batch 260/541 | loss=89.4227
  batch 261/541 | loss=89.0953
  batch 262/541 | loss=88.7694
  batch 263/541 | loss=88.4464
  batch 264/541 | loss=88.1273
  batch 265/541 | loss=87.8081
  batch 266/541 | loss=87.4906
  batch 267/541 | loss=87.1763
  batch 268/541 | loss=86.8638
  batch 269/541 | loss=86.5549
  batch 270/541 | loss=86.2501
  batch 271/541 | loss=85.9465
  batch 272/541 | loss=85.6432
  batch 273/541 | loss=85.3435
  batch 274/541 | loss=85.0474
  batch 275/541 | loss=84.7528
  batch 276/541 | loss=84.4588
  batch 277/541 | loss=84.1683
  batch 278/541 | loss=83.8813
  batch 279/541 | loss=83.5957
  batch 280/541 | loss=83.3095
  batch 281/541 | loss=83.0255
  batch 282/541 | loss=82.7440
  batch 283/541 | loss=82.4639
  batch 284/541 | loss=82.1857
  batch 285/541 | loss=81.9105
  batch 286/541 | loss=81.6362
  batch 287/541 | loss=81.3636
  batch 288/541 | loss=81.0930
  batch 289/541 | loss=80.8254
  batch 290/541 | loss=80.5583
  batch 291/541 | loss=80.2931
  batch 292/541 | loss=80.0296
  batch 293/541 | loss=79.7680
  batch 294/541 | loss=79.5082
  batch 295/541 | loss=79.2506
  batch 296/541 | loss=78.9946
  batch 297/541 | loss=78.7402
  batch 298/541 | loss=78.4873
  batch 299/541 | loss=78.2364
  batch 300/541 | loss=77.9872
  batch 301/541 | loss=77.7392
  batch 302/541 | loss=77.4932
  batch 303/541 | loss=77.2484
  batch 304/541 | loss=77.0064
  batch 305/541 | loss=76.7654
  batch 306/541 | loss=76.5257
